ID#,2 Names, Êrelation#,name of relation,Corp #,Corp,Full name of Corporation,Type of business,Miscellaneous info
510288,Miguel  Huerta,60,CFO,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
2461673,Javier  Diaz,61,CEO,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
393425,Jos  Manzano,62,CRO,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
393395,Oscar  Carvajal,63,GM,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
23217970,Jesœs  Lotina,64,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
23217978,Carlos  Marchant,65,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
23217980,Victor  Crousillat,66,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
776346,Roberto  Mayanz,67,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
776340,Vittorio  Lioi,68,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
776336,Roberto  Torres,69,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
23217965,Lucia  Sutil,70,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
20593212,Marco  Hadjes,71,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
127569934,Lisandro  Spoerer,72,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,
11850482,Raimundo  Zegers,73,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,Prim: Santander Chile Holding S.A.
6985493,Juan  Irujo,74,BoD,6,BSAN:CI,BANCO SANTANDER CHILE,Banks,Prim: Banco Santander (Brasil) S.A.
8977079,Jaime  Charles,75,CEO,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
8977072,Raœl  Alcaino,76,CFO,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
59663234,Ren_  Corbeaux,77,CEO,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
59663219,Germ‡n  D’az,78,CEO,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
20758968,Eugenio  Espinosa,79,CEO,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
26303596,Roberto  Barbas,80,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
8977139,Sven  Behrmann,81,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
58269775,Fernando  Sloer,82,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
8977052,Eddie  Cerda,83,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
59663199,Rodolfo  Lubascher,84,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
59663430,Akira  Suzuki,85,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
64919884,Tokuro  Yamada,86,BoD,7,CAP:CI,CAP (Compa–’a de Acero del Pac’fico),Mining,
206252656,Daniel  Rodriguez,87,CEO,8,CENCOSUD:CI,Cencosud,Retailers,
6656188,Horst  Kemna,88,Founder/Chairman,8,CENCOSUD:CI,Cencosud,Retailers,
36257500,Andr_s  Osorio,89,CFO,8,CENCOSUD:CI,Cencosud,Retailers,
113918710,Jeorge  Alvarez,90,CEO,8,CENCOSUD:CI,Cencosud,Retailers,
368140,Francisco  Bauza,91,CEO,8,CENCOSUD:CI,Cencosud,Retailers,
25986117,Heike  Koepfer,92,BoD,8,CENCOSUD:CI,Cencosud,Retailers,
25986108,Roberto  Philipps,93,BoD,8,CENCOSUD:CI,Cencosud,Retailers,
25986112,Peter  Koepfer,94,BoD,8,CENCOSUD:CI,Cencosud,Retailers,
8977139,Sven  Behrmann,95,BoD,8,CENCOSUD:CI,Cencosud,Retailers,Prim: CAP S.A.
8284834,Christi‡n  Johnston,96,BoD,8,CENCOSUD:CI,Cencosud,Retailers,Prim: Palm Beach International Airport
158637345,Erasmo  Lu,97,BoD,8,CENCOSUD:CI,Cencosud,Retailers,
206252713,Julio  Neto,98,BoD,8,CENCOSUD:CI,Cencosud,Retailers,
206252909,David  Patrickson,99,BoD,8,CENCOSUD:CI,Cencosud,Retailers,
12532492,Patricio  Nasrallah,100,CEO,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,
